Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Acanthocercus cyanogaster,Sauria,Agamidae,1835,167,11,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Acanthocercus guentherpetersi,Sauria,Agamidae,2006,102,,Carnivorous,,Saxicolous,1,0,1,0,1,0
Acanthocercus phillipsii,Sauria,Agamidae,1895,112,,Carnivorous,,Saxicolous,1,0,1,0,1,0
Acanthocercus yemensis,Sauria,Agamidae,1954,136,,Omnivorous,,Saxicolous,0,0,1,0,1,0
Acanthosaura armata,Sauria,Agamidae,1827,140,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Acanthosaura bintangensis,Sauria,Agamidae,2009,142,,,,Arboreal,1,0,1,1,1,0
Acanthosaura brachypoda,Sauria,Agamidae,2011,117,,,,Arboreal,1,0,1,1,1,0
Acanthosaura capra,Sauria,Agamidae,1861,140,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Acanthosaura cardamomensis,Sauria,Agamidae,2010,1494,,,Oviparous,Arboreal&Terrestrial,0,0,1,1,0,0
Acanthosaura coronata,Sauria,Agamidae,1861,90,,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,1,0,0,0
Acanthosaura crucigera,Sauria,Agamidae,1885,155,18,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Acanthosaura lepidogaster,Sauria,Agamidae,1829,111,15,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Acanthosaura nataliae,Sauria,Agamidae,2006,158,,Omnivorous,Oviparous,Arboreal,1,0,1,0,0,0
Acanthosaura titiwangsaensis,Sauria,Agamidae,2009,1501,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Agama aculeata,Sauria,Agamidae,1820,118,14,Omnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Agama africana,Sauria,Agamidae,1844,120,,Carnivorous,,Arboreal&Terrestrial,0,0,1,0,1,0
Agama agama,Sauria,Agamidae,1758,150,12.1,Omnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Agama anchietae,Sauria,Agamidae,1896,140,11.9,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Agama armata,Sauria,Agamidae,1855,94,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Agama atra,Sauria,Agamidae,1802,140,,Omnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Agama bibronii,Sauria,Agamidae,1874,134,14.6,Carnivorous,Oviparous,Saxicolous&Terrestrial,,0,0,0,0,0
Agama bocourti,Sauria,Agamidae,1884,80,,,,,1,0,1,1,1,1
Agama boensis,Sauria,Agamidae,1940,81,,,,Terrestrial,0,0,1,1,1,0
Agama bottegi,Sauria,Agamidae,1897,120,,,,,0,0,1,1,1,1
Agama boueti,Sauria,Agamidae,1917,110,9.3,Omnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Agama boulengeri,Sauria,Agamidae,1886,140,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Agama caudospinosa,Sauria,Agamidae,1910,165,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Agama cristata,Sauria,Agamidae,1905,130,,,,Arboreal&Terrestrial,0,0,1,1,1,0
Agama doriae,Sauria,Agamidae,1885,115,,,,Saxicolous,0,0,1,1,1,0
Agama etoshae,Sauria,Agamidae,1981,85,8.6,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Agama finchi,Sauria,Agamidae,2005,1182,,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,1,0,0,0
Agama gracilimembris,Sauria,Agamidae,1918,576,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Agama hartmanni,Sauria,Agamidae,1869,92,,Carnivorous,,Terrestrial,0,0,1,0,1,0
Agama hispida,Sauria,Agamidae,1827,134,14,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
